id,submission_time,vote_number,question_id,message,image
1,1493398154,4,1,"You need to use brackets: my_list = []",
2,1493088154,35,1,"Look it up in the Python docs",
3,1609778016,0,2,nie wiem co to znaczy,
4,1609778119,0,2,nie wiem co to znaczy,
5,1609781491,0,3,co to był za koszmar,
6,1609781643,0,3,i jeszcze jeden koszmar,
7,1609781665,0,3,i jeszcze jeden bo nie wiem jak tu uzywac przecinkow,
8,1609781845,0,6,co mozna odpowiedziec na tak precyzyjnie zadane pytanie?,
9,1609782259,0,4,no i w koncu zadzialało,
10,1609782652,0,8,just give it up or pay someone to do the job for you,
11,1609782830,0,2,babababbababa,
